id,hidraulic,puming_turbine,nuclear,coal,diesel_engines,gas_turbine,vapour_turbine,combined_cycle,hidro_wind,wind,photovoltaic_solar,solar_thermal,other_renewable,co_generation,non_renewable_waste,renewable_waste,total,month,year,years,months
2,2838.605407,229.837141,4885.683024,821.301781,211.70033600000002,39.258754,128.349147,2893.614171,1.3385150000000001,4271.307758000001,973.4163159999999,227.95599600000003,347.61690600000003,2235.304299,170.035277,62.468232,20337.79306,1900-02-01,2020-01-01,2020,2.0
3,3114.061333,303.523791,5174.945115,474.78253600000005,180.956068,31.141695,114.048723,1910.683244,1.823614,5601.202209,1067.169174,235.96742,346.296305,2236.957267,177.174841,62.466010000000004,21033.199346,1900-03-01,2020-01-01,2020,3.0
4,2862.374612,314.35097499999995,4085.604789,305.13967099999996,166.20395000000002,15.716700999999999,98.923324,2167.51346,0.991125,3694.767184,1148.5846159999999,206.86543700000001,337.757793,1928.811875,139.53133050000002,35.0468725,17508.183715,1900-04-01,2020-01-01,2020,4.0
5,2860.26007,243.639892,3078.957761,242.76348000000002,178.043915,18.944309,116.06845299999999,2440.445298,1.442708,3964.682319,1636.7632839999999,552.4847510000001,387.289877,2087.155885,145.362791,36.650934,17990.955726000004,1900-05-01,2020-01-01,2020,5.0
6,2266.4227579999997,152.41034299999998,3621.381286,361.459592,172.199772,24.670181,83.296143,4006.5282089999996,0.7426280000000001,3343.977027,1797.6972930000002,711.646848,380.007994,2189.6724249999997,149.0961455,42.313554499999995,19303.522198999995,1900-06-01,2020-01-01,2020,6.0
7,1838.035028,167.16095,5159.005855,301.768792,211.04276800000002,48.753217,114.33213,6317.818803,3.652422,4249.55412,1903.210827,796.172042,349.559701,2304.163451,141.0811175,43.134660499999995,23948.445884000004,1900-07-01,2020-01-01,2020,7.0
8,1889.516844,158.85513,5151.917422,337.165744,242.788221,54.511055,127.712586,5529.268472,3.575741,3675.5996099999998,1817.83495,744.541661,368.81825699999996,2194.300447,190.290143,77.36410099999999,22564.060383999997,1900-08-01,2020-01-01,2020,8.0
9,1671.696369,187.667328,4871.2094019999995,351.029938,212.204263,36.880593999999995,98.396694,4978.688966,1.9118979999999999,4055.1663080000003,1460.463968,452.15923300000003,396.083081,2310.15876,188.784347,73.396944,21345.898093,1900-09-01,2020-01-01,2020,9.0
10,1905.809841,233.257852,4530.276466,304.480328,189.338091,41.581658000000004,128.2145,3185.044239,1.456723,5772.60519,1314.9535919999998,340.274709,415.369636,2354.0122570000003,163.5634915,71.7826875,20952.021261,1900-10-01,2020-01-01,2020,10.0
11,2463.313607,206.002588,4639.700502999999,354.868701,196.414769,28.563691,121.615077,3698.5145899999998,0.821801,4210.154280000001,813.7074379999999,108.048269,394.574464,2392.802075,194.0750485,80.8887625,19904.065664,1900-11-01,2020-01-01,2020,11.0
12,3192.2838939999997,320.955577,5270.53221,300.065011,202.181045,27.628667,109.732229,3038.617595,0.958502,7440.365855,742.998879,76.225913,422.895433,2356.443098,189.8439305,75.5825755,23767.310414,1900-12-01,2020-01-01,2020,12.0
1,4057.346783,320.53138900000005,5199.740516,557.872278,203.759973,28.766271,116.282053,2729.236679,0.99317,7101.249123,848.4030740000001,102.634029,390.590396,2405.236806,182.93208900000002,59.850282,24305.424911000002,1900-01-01,2021-01-01,2021,1.0
2,4517.602492,401.29321899999997,4358.515107,176.198983,160.418085,18.026130000000002,104.960847,1544.065785,1.226483,6294.982856,973.686902,138.18132699999998,365.191889,1838.16573,172.740345,69.06586800000001,21134.322047999998,1900-02-01,2021-01-01,2021,2.0
3,3715.416012,330.794555,4833.065002,242.138946,173.283976,27.904377,100.75825900000001,2151.091661,1.921443,5606.818805,1688.757265,355.01542700000005,359.459071,2253.823616,184.342436,72.598535,22097.189386,1900-03-01,2021-01-01,2021,3.0
4,2745.019022,153.67968,4197.33293,270.100026,187.547789,24.553476999999997,70.652976,3384.471579,0.835908,4095.800569,1665.571492,266.787519,392.274795,2193.285205,178.093968,74.357494,19900.364428999997,1900-04-01,2021-01-01,2021,4.0
5,2159.483245,238.708927,4373.250552,331.93111300000004,178.36229999999998,24.916217,62.41677,2444.871606,3.2270770000000004,4785.695033,2388.831852,645.5974570000001,390.93192700000003,2206.3288620000003,177.333071,59.595065999999996,20471.481075,1900-05-01,2021-01-01,2021,5.0
